iter	Cox
0	-136971.8378
1	-136734.1532
2	-136507.7601
3	-136324.6742
4	-136158.4817
5	-136035.9771
6	-135910.9279
7	-135798.3466
8	-135691.4014
9	-135610.1714
10	-135539.8417
11	-135470.689
12	-135406.7431
13	-135351.1584
14	-135298.034
15	-135251.5656
16	-135208.6788
17	-135167.6217
18	-135128.7643
19	-135093.5098
20	-135066.4108
21	-135035.4093
22	-135006.6176
23	-134973.0696
24	-134955.3917
25	-134933.063
26	-134909.195
27	-134891.0206
28	-134861.4598
29	-134839.5425
30	-134820.4856
31	-134807.9644
32	-134790.0007
33	-134768.6942
34	-134755.6329
35	-134742.0943
36	-134727.1429
37	-134711.7678
38	-134701.5714
39	-134692.5853
40	-134678.1305
41	-134666.8701
42	-134657.3337
43	-134642.5554
44	-134632.7998
45	-134623.4069
46	-134612.3971
47	-134596.5503
48	-134589.5304
49	-134583.5478
50	-134576.5865
51	-134566.6528
52	-134560.7515
53	-134546.6154
54	-134531.9508
55	-134521.8372
56	-134511.3052
57	-134499.7666
58	-134495.1068
59	-134489.8547
60	-134482.7925
61	-134477.1765
62	-134461.0353
63	-134453.1594
64	-134442.0649
65	-134430.6201
66	-134421.1135
67	-134412.0471
68	-134403.6775
69	-134396.246
70	-134391.7059
71	-134384.6756
72	-134373.8016
73	-134367.582
74	-134362.065
75	-134355.9335
76	-134347.8357
77	-134340.6922
78	-134336.2016
79	-134328.4304
80	-134321.6806
81	-134314.2586
82	-134307.4833
83	-134298.8087
84	-134295.3826
85	-134289.7787
86	-134281.9286
87	-134277.7658
88	-134266.8875
89	-134259.5574
90	-134252.8741
91	-134246.4551
92	-134237.7717
93	-134230.4007
94	-134226.4661
95	-134220.9517
96	-134215.2595
97	-134208.2467
98	-134199.9527
99	-134190.6425
100	-134182.547
101	-134176.3884
102	-134170.2178
103	-134162.3703
104	-134157.8865
105	-134143.7349
106	-134131.3603
107	-134120.6793
108	-134106.9054
109	-134092.785
110	-134084.8107
111	-134080.96
112	-134072.0649
113	-134071.7851
114	-134063.3892
115	-134059.3172
116	-134057.3963
117	-134047.9752
118	-134034.614
119	-134022.6266
120	-134009.1774
121	-133996.8055
122	-133979.9353
123	-133969.3147
124	-133963.0593
125	-133954.8561
126	-133952.1818
127	-133950.5288
128	-133944.7144
129	-133939.7228
130	-133939.3852
131	-133935.8402
132	-133923.776
133	-133922.7424
134	-133922.3534
135	-133906.8594
136	-133900.6754
137	-133892.8876
138	-133888.8474
139	-133876.8454
140	-133875.2308
141	-133868.4546
142	-133868.1397
143	-133863.8561
144	-133858.7807
145	-133857.8974
146	-133852.274
147	-133851.7572
148	-133847.1612
149	-133841.6771
150	-133840.8585
151	-133829.1732
152	-133822.0975
153	-133819.4541
154	-133818.3084
155	-133818.0009
156	-133809.9062
157	-133809.0481
158	-133807.5962
159	-133807.0126
160	-133802.1998
161	-133791.8495
162	-133782.208
163	-133779.8945
164	-133771.7734
165	-133767.0715
166	-133761.9821
167	-133761.5109
168	-133760.6688
169	-133758.2345
170	-133751.0174
171	-133750.2756
172	-133745.2067
173	-133743.8721
174	-133743.4834
175	-133738.7772
176	-133737.7275
177	-133737.3838
178	-133737.0464
179	-133736.67
180	-133726.032
181	-133725.4714
182	-133724.1404
183	-133723.0136
184	-133715.3796
185	-133705.9686
186	-133696.7067
187	-133679.5806
188	-133672.1358
189	-133667.7093
190	-133665.2226
191	-133660.3033
192	-133659.4858
193	-133657.819
194	-133656.6328
195	-133656.5093
196	-133655.6493
197	-133655.3753
198	-133651.5977
199	-133647.8924
200	-133643.9429
201	-133637.5584
202	-133636.6091
203	-133630.3298
204	-133628.8919
205	-133628.7266
206	-133623.1601
207	-133622.6358
208	-133621.3387
209	-133617.6671
210	-133617.4407
211	-133614.531
212	-133607.2126
213	-133606.7778
214	-133595.9179
215	-133595.7783
216	-133595.4097
217	-133595.1448
218	-133587.4565
219	-133583.3906
220	-133582.5541
221	-133581.7087
222	-133581.2172
223	-133577.5251
224	-133576.8472
225	-133573.1272
226	-133568.8898
227	-133568.6217
228	-133560.4022
229	-133560.2343
230	-133553.802
231	-133553.3276
232	-133544.0164
233	-133540.0462
234	-133535.6468
235	-133534.5861
236	-133534.1349
237	-133533.4417
238	-133533.1554
239	-133531.7889
240	-133531.4349
241	-133530.6565
242	-133527.4962
243	-133514.4238
244	-133512.6396
245	-133512.6142
246	-133511.5856
247	-133503.9601
248	-133503.7116
249	-133502.7955
250	-133497.6756
251	-133496.7678
252	-133496.3701
253	-133489.4631
254	-133485.1858
255	-133479.8283
256	-133479.31
257	-133473.4383
258	-133472.9958
259	-133470.4883
260	-133465.4583
261	-133459.5548
262	-133458.7923
263	-133457.0112
264	-133450.3309
265	-133450.2281
266	-133444.4505
267	-133440.6839
268	-133436.625
269	-133434.9453
270	-133434.7849
271	-133427.9543
272	-133423.0933
273	-133415.9837
274	-133415.712
275	-133415.3462
276	-133411.6723
277	-133411.3071
278	-133399.9584
279	-133399.6144
280	-133399.3153
281	-133395.3136
282	-133395.0658
283	-133393.5399
284	-133392.8683
285	-133391.2416
286	-133389.4737
287	-133387.6555
288	-133387.0787
289	-133386.1609
290	-133381.2509
291	-133379.2558
292	-133372.366
293	-133371.2125
294	-133370.2297
295	-133368.7184
296	-133366.2799
297	-133358.7709
298	-133356.3235
299	-133356.0358
300	-133355.8199
301	-133353.6969
302	-133346.0251
303	-133343.609
304	-133343.08
305	-133342.8211
306	-133338.2601
307	-133337.6898
308	-133337.3208
309	-133335.879
310	-133334.2128
311	-133323.3337
312	-133319.6094
313	-133312.767
314	-133312.5893
315	-133303.1552
316	-133303.0149
317	-133295.6796
318	-133295.2578
319	-133294.5819
320	-133290.4115
321	-133290.2959
322	-133289.0192
323	-133288.1616
324	-133283.7633
325	-133274.2314
326	-133272.4914
327	-133265.2601
328	-133260.6043
329	-133258.6442
330	-133256.1454
331	-133253.485
332	-133252.688
333	-133248.6376
334	-133247.9891
335	-133247.2491
336	-133246.4879
337	-133245.0597
338	-133244.5486
339	-133243.6376
340	-133241.9902
341	-133241.5949
342	-133241.1513
343	-133240.5212
344	-133240.313
345	-133238.2361
346	-133238.0815
347	-133235.5461
348	-133232.6011
349	-133228.75
350	-133225.6418
351	-133225.5483
352	-133221.7742
353	-133218.4399
354	-133217.1021
355	-133215.4127
356	-133212.8207
357	-133209.7093
358	-133208.7215
359	-133202.1115
360	-133198.5591
361	-133198.2213
362	-133196.6649
363	-133196.3656
364	-133196.3081
365	-133196.2495
366	-133194.0409
367	-133193.9541
368	-133193.2464
369	-133189.1426
370	-133186.8754
371	-133183.3251
372	-133182.9812
373	-133182.5151
374	-133177.1173
375	-133176.8984
376	-133171.45
377	-133165.8103
378	-133165.0697
379	-133164.9319
380	-133159.768
381	-133158.9583
382	-133158.7286
383	-133153.8285
384	-133153.662
385	-133148.9505
386	-133145.7396
387	-133145.5629
388	-133145.3412
389	-133139.5726
390	-133139.3545
391	-133136.1207
392	-133127.3732
393	-133119.8056
394	-133118.7259
395	-133118.2114
396	-133117.925
397	-133117.7764
398	-133117.1335
399	-133114.9224
